,date_change,time_change,price_change,date_open,time_open,price_open,time_close,date_close,price_close,volume
0,20150929,113600,2.0,20150929.0,113500.0,687.0,20151230.0,20151230.0,1159.8,14.0
1,20150929,113700,0.0,,,,,,,
2,20150929,113800,0.0,,,,,,,
3,20150929,113900,0.0,,,,,,,
4,20150929,114000,0.0,,,,,,,
5,20150929,114100,0.0,,,,,,,
6,20150929,114200,0.0,,,,,,,
7,20150929,114300,0.0,,,,,,,
8,20150929,114400,0.0,,,,,,,
9,20150929,114500,0.0,,,,,,,
10,20150929,114600,0.0,,,,,,,
11,20150929,114700,0.0,,,,,,,
12,20150929,114800,0.0,,,,,,,
13,20150929,114900,2.0,,,,,,,
14,20150929,115000,0.0,,,,,,,
15,20150929,115100,-1.0,,,,,,,
16,20150929,115200,-1.0,,,,,,,
17,20150929,115300,0.0,,,,,,,
18,20150929,115400,11.0,,,,,,,
19,20150929,115500,-5.0,,,,,,,
20,20150929,115600,0.0,,,,,,,
21,20150929,115700,0.0,,,,,,,
22,20150929,115800,0.0,,,,,,,
23,20150929,115900,-1.0,,,,,,,
24,20150929,120000,0.0,,,,,,,
25,20150929,120100,0.0,,,,,,,
26,20150929,120200,0.0,,,,,,,
27,20150929,120300,0.0,,,,,,,
28,20150929,120400,0.0,,,,,,,
29,20150929,120500,1.0,,,,,,,
30,20150929,120600,0.0,,,,,,,
31,20150929,120700,0.0,,,,,,,
32,20150929,120800,0.0,,,,,,,
33,20150929,120900,-1.0,,,,,,,
34,20150929,121000,1.0,,,,,,,
35,20150929,121100,0.0,,,,,,,
36,20150929,121200,0.0,,,,,,,
37,20150929,121300,-2.0,,,,,,,
38,20150929,121400,1.0,,,,,,,
39,20150929,121500,0.0,,,,,,,
40,20150929,121600,-1.0,,,,,,,
41,20150929,121700,1.0,,,,,,,
42,20150929,121800,0.0,,,,,,,
43,20150929,121900,-2.0,,,,,,,
44,20150929,122000,0.0,,,,,,,
45,20150929,122100,0.0,,,,,,,
46,20150929,122200,2.0,,,,,,,
47,20150929,122300,-1.0,,,,,,,
48,20150929,122400,0.0,,,,,,,
49,20150929,122500,0.0,,,,,,,
50,20150929,122600,0.0,,,,,,,
51,20150929,122700,0.0,,,,,,,
52,20150929,122800,-1.0,,,,,,,
53,20150929,122900,1.0,,,,,,,
54,20150929,123000,-1.0,,,,,,,
55,20150929,123100,0.0,,,,,,,
56,20150929,123200,0.0,,,,,,,
57,20150929,123300,0.0,,,,,,,
58,20150929,123400,0.0,,,,,,,
59,20150929,123500,1.0,,,,,,,
60,20150929,123600,0.0,,,,,,,
61,20150929,123700,-1.0,,,,,,,
62,20150929,123800,0.0,,,,,,,
63,20150929,123900,0.0,,,,,,,
64,20150929,124000,0.0,,,,,,,
65,20150929,124100,0.0,,,,,,,
66,20150929,124200,0.0,,,,,,,
67,20150929,124300,0.0,,,,,,,
68,20150929,124400,0.0,,,,,,,
69,20150929,124500,0.0,,,,,,,
70,20150929,124600,0.0,,,,,,,
71,20150929,124700,0.0,,,,,,,
72,20150929,124800,0.0,,,,,,,
73,20150929,124900,0.0,,,,,,,
74,20150929,125000,0.0,,,,,,,
75,20150929,125100,0.0,,,,,,,
76,20150929,125200,0.0,,,,,,,
77,20150929,125300,0.0,,,,,,,
78,20150929,125400,0.0,,,,,,,
79,20150929,125500,0.0,,,,,,,
80,20150929,125600,0.0,,,,,,,
81,20150929,125700,0.0,,,,,,,
82,20150929,125800,0.0,,,,,,,
83,20150929,125900,0.0,,,,,,,
84,20150929,130000,0.0,,,,,,,
85,20150929,130100,0.0,,,,,,,
86,20150929,130200,0.0,,,,,,,
87,20150929,130300,0.0,,,,,,,
88,20150929,130400,0.0,,,,,,,
89,20150929,130500,0.0,,,,,,,
90,20150929,130600,0.0,,,,,,,
91,20150929,130700,-1.0,,,,,,,
92,20150929,130800,1.0,,,,,,,
93,20150929,130900,-1.0,,,,,,,
94,20150929,131000,0.0,,,,,,,
95,20150929,131100,1.0,,,,,,,
96,20150929,131200,0.0,,,,,,,
97,20150929,131300,-1.0,,,,,,,
98,20150929,131400,0.0,,,,,,,
99,20150929,131500,1.0,,,,,,,
100,20150929,131600,-3.0,,,,,,,
101,20150929,131700,0.0,,,,,,,
102,20150929,131800,1.0,,,,,,,
103,20150929,131900,0.0,,,,,,,
104,20150929,132000,0.0,,,,,,,
105,20150929,132100,0.0,,,,,,,
106,20150929,132200,0.0,,,,,,,
107,20150929,132300,0.0,,,,,,,
108,20150929,132400,1.0,,,,,,,
109,20150929,132500,0.0,,,,,,,
110,20150929,132600,-1.0,,,,,,,
111,20150929,132700,0.0,,,,,,,
112,20150929,132800,0.0,,,,,,,
113,20150929,132900,0.0,,,,,,,
114,20150929,133000,0.0,,,,,,,
115,20150929,133100,0.0,,,,,,,
116,20150929,133200,0.0,,,,,,,
117,20150929,133300,0.0,,,,,,,
118,20150929,133400,0.0,,,,,,,
119,20150929,133500,0.0,,,,,,,
120,20150929,133600,0.0,,,,,,,
121,20150929,133700,0.0,,,,,,,
122,20150929,133800,0.0,,,,,,,
123,20150929,133900,0.0,,,,,,,
124,20150929,134000,0.0,,,,,,,
125,20150929,134100,0.0,,,,,,,
126,20150929,134200,0.0,,,,,,,
127,20150929,134300,0.0,,,,,,,
128,20150929,134400,0.0,,,,,,,
129,20150929,134500,0.0,,,,,,,
130,20150929,134600,0.0,,,,,,,
131,20150929,134700,-1.0,,,,,,,
132,20150929,134800,1.0,,,,,,,
133,20150929,134900,0.0,,,,,,,
134,20150929,135000,0.0,,,,,,,
135,20150929,135100,0.0,,,,,,,
